True Label,Predicted Label,Content
related work,related work,variants of the key hierarchy scheme studied in this paper were proposed by several independent groups citationelement the particular model we have adopted matches the key graph scheme of citationelement where they show that a balanced hierarchy achieves an upper bound of italic_O OPEN_( OPFUNCTION_logarithm italic_n CLOSE_) on the number of multicast messages needed for any update in a group of italic_n members in citationelement it is shown that Theta OPEN_( OPFUNCTION_logarithm italic_n CLOSE_) messages are necessary for an update in the worst case for a general class of key distribution schemes lower bounds on the amount of communication needed under constraints on the number of keys stored at a user are given in citationelement information theoretic bounds on the number of auxiliary keys that need to be updated given member update frequencies are given in citationelement                                                                                                                                                                                                                                                                                                                                                       
remark,remark,if italic_f OPEN_( italic_X CLOSE_) and italic_f OPEN_( italic_Y CLOSE_) are of the forms italic_f OPEN_( italic_X CLOSE_) RELOP_equals SUMOP_sum POSTSUBSCRIPT_start italic_i RELOP_equals NUM POSTSUBSCRIPT_end POSTSUPERSCRIPT_start ID_infinity POSTSUPERSCRIPT_end italic_lambda POSTSUBSCRIPT_start italic_i POSTSUBSCRIPT_end italic_P POSTSUBSCRIPT_start italic_i POSTSUBSCRIPT_end italic_f OPEN_( italic_Y CLOSE_) RELOP_equals SUMOP_sum POSTSUBSCRIPT_start italic_j RELOP_equals NUM POSTSUBSCRIPT_end POSTSUPERSCRIPT_start ID_infinity POSTSUPERSCRIPT_end italic_mu POSTSUBSCRIPT_start italic_j POSTSUBSCRIPT_end italic_Q POSTSUBSCRIPT_start italic_j POSTSUBSCRIPT_end where OPEN_{ italic_P POSTSUBSCRIPT_start italic_i POSTSUBSCRIPT_end CLOSE_} POSTSUBSCRIPT_start italic_i POSTSUBSCRIPT_end and OPEN_{ italic_Q POSTSUBSCRIPT_start italic_j POSTSUBSCRIPT_end CLOSE_} POSTSUBSCRIPT_start italic_j POSTSUBSCRIPT_end are orthogonal family of projections and italic_lambda POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end RELOP_greater_than_or_equals italic_lambda POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end RELOP_greater_than_or_equals ID_cdots and italic_mu POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end RELOP_greater_than_or_equals italic_mu POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end RELOP_greater_than_or_equals ID_cdots then theorem NUM NUM holds by the same proof for example if both italic_X and italic_Y are compact positive and italic_f OPEN_( italic_t CLOSE_) is strictly increasing then italic_f OPEN_( italic_X CLOSE_) and italic_f OPEN_( italic_Y CLOSE_) are of the above forms                                                                                                                                                                                                                                                                                                                                           
result,result,the measurements were carried out during NUM NUM days of live time by brief NUM hour runs in order to monitor the time stability of the data acquisition system the obtained energy spectra of the si li detector in the range OPEN_( NUM MULOP_divide NUM CLOSE_) kev are shown in fig ref while the spectrum measured in the coincidence with signals of the veto scintillators does not contain any peculiarity one can clearly identify several peaks in the spectrum of uncorrelated events                                                                                                                                                                                                                                                                                                                                                                                                              
abstract,acknowledgement,the authors wish it to be known that in their opinion the first two authors should be regarded as joint first authors                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
abstract,conclusion,the recent demonstration of current singularity formation by low et al assumes that potential fields will remain potential under simple expansion or compression citationelement an explicit counterexample to their key assumption is constructed our findings suggest that their results may need to be reconsidered                                                                                                                                                                                                                                                                                                                                                                                                                                                    
abstract,definition,say that a surface in italic_S RELOP_subset_of bold_R POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end has the central plane oval property or cpo if                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
abstract,example,"in this section we show that whenever a path dependent martingale problem is well posed then its solution is a path dependent canonical class verifying hypothesis ref this relies on the same mathematical tools than those used by d s stroock and s r s varadhan in the context of markovian diffusions in citationelement indeed it was already known that the ideas of citationelement could be used in any type of markovian setup and not just for martingale problems associated to diffusions see citationelement for example one of the interests of the following lines is to show that their scope goes beyond the markovian framework first we prove that italic_eta ARROW_maps_to blackboard_P POSTSUPERSCRIPT_start italic_s PUNCT_, italic_eta POSTSUPERSCRIPT_end is measurable using well posedness arguments and the celebrated kuratowsky theorem then we show in proposition ref that the solution of the martingale problem verifies ref which is the analogous formulation of markov property through the theory of regular conditional expectations and again the fact that the martingale problem is well posed                                                                                                                                                                                                                                                                                                                       "
abstract,introduction,this article follows the scientific life of john norris bahcall including his tenacious pursuit of the solar neutrino problem his contributions to our understanding of galaxies quasars and their emissions and his leadership of and advocacy for astronomy and astrophysics                                                                                                                                                                                                                                                                                                                                                                                                                                                        
abstract,keywords,gamma rays bursts cosmology                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
abstract,proof,we apply the constructions of citationelement to the shintani cocycle of charollois dasgupta greenberg obtaining cocycles on arithmetic subgroups of OPFUNCTION_GL POSTSUBSCRIPT_start italic_n POSTSUBSCRIPT_end OPEN_( blackboard_Q CLOSE_) valued in maps from deformation vectors blackboard_R POSTSUPERSCRIPT_start italic_n POSTSUPERSCRIPT_end MULOP_backslash blackboard_Q POSTSUPERSCRIPT_start italic_n POSTSUPERSCRIPT_end to italic_p adic measures                                                                                                                                                                                                                                                                                                                                                                                                                                                  
abstract,proposition,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
abstract,problem,"let italic_G POSTSUBSCRIPT_start italic_n POSTSUBSCRIPT_end RELOP_subset_of Diff POSTSUPERSCRIPT_start ADDOP_plus POSTSUPERSCRIPT_end OPEN_( italic_S POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end CLOSE_) be the stabilizer of italic_n given points of italic_S POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end how much information do we lose if we restrict a positive energy representation italic_U POSTSUPERSCRIPT_start italic_c POSTSUPERSCRIPT_end POSTSUBSCRIPT_start italic_h POSTSUBSCRIPT_end associated to an admissible pair OPEN_( italic_c PUNCT_, italic_h CLOSE_) of the central charge and lowest energy to the subgroup italic_G POSTSUBSCRIPT_start italic_n POSTSUBSCRIPT_end the question and a part of the answer originate in chiral conformal qft                                                                                                                                                                                                                                                                                                                                                                                                           "
abstract,related work,the present work is concerned with community detection that is reconstruction of hidden components in random graph models decelle et al citationelement conjectured the existence of a sharp threshold on model parameters for community detection in sparse random graphs drawn from the stochastic block model mossel neeman and sly citationelement established the negative part of the conjecture proving impossibility of meaningful reconstruction below the threshold the positive part of the conjecture remained elusive so far results of coja oghlan citationelement imply that a particular spectral method applied to the graphs adjacency matrix achieves non trivial reconstruction but this applies only when above the conjectured threshold by a possibly large constant                                                                                                                                                                                                                                                                                                                                                                                  
abstract,remark,an explicit expression is suggested for the average RELOP_less_than italic_U POSTSUBSCRIPT_start italic_i italic_j POSTSUBSCRIPT_end italic_U POSTSUBSCRIPT_start italic_k italic_l POSTSUBSCRIPT_end POSTSUPERSCRIPT_start MULOP_dagger POSTSUPERSCRIPT_end RELOP_greater_than over the unitary group italic_S italic_U OPEN_( italic_N CLOSE_) with the itzykson zuber measure OPEN_[ italic_d italic_U CLOSE_] OPFUNCTION_exponential tr Phi italic_U Psi italic_U POSTSUPERSCRIPT_start MULOP_dagger POSTSUPERSCRIPT_end                                                                                                                                                                                                                                                                                                                                                                                                                                              
abstract,result,we apply results of citationelement to compute limiting probability profiles for various quantum walks in one and two dimensions using analytical machinery we show some features of the limit distribution that are not evident in an empirical intensity plot of the time NUM NUM distribution some are stated and computational techniques are discussed as well                                                                                                                                                                                                                                                                                                                                                                                                                                         
acknowledgement,abstract,the talk is based on the collaboration with t kubota more detailed description on the content of the present paper can be found in hep ph NUM                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
acknowledgement,conclusion,the first sections teleportation via povms and conclusive teleportation were presented before but not published citationelement the idea of bilocal teleportation and the ability to perform quasi conclusive teleportation with mixed states were presented in citationelement but the example we provide here is much simpler and involves only two qubits the connection between conclusive teleportation and conclusive purification or distillation from a single pair was obtained in citationelement and the idea of conclusive distillation appears earlier in previous works citationelement                                                                                                                                                                                                                                                                                                                                                                                                                
acknowledgement,introduction,"bd thanks drs jair botina and tak san ho for useful discussions the authors acknowledge support from the nsf and dod appendix two additional forms for the cost functional and associated initial final conditions the forms here are presented for reference as an alternative qfd approach they have the advantages of simplicity and of giving equations for the lagrange multiplier in the same form as the dynamical equations the formalism for deriving the quations is through the euler equations corresponding to the minimization of italic_I RELOP_equals INTOP_integral POSTSUBSCRIPT_start italic_V POSTSUBSCRIPT_end INTOP_integral POSTSUBSCRIPT_start italic_t RELOP_equals NUM POSTSUBSCRIPT_end POSTSUPERSCRIPT_start italic_T POSTSUPERSCRIPT_end italic_F OPEN_( italic_f PUNCT_, italic_f POSTSUBSCRIPT_start italic_t POSTSUBSCRIPT_end PUNCT_, OPERATOR_nabla italic_f PUNCT_, OPERATOR_nabla POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end italic_f CLOSE_) italic_d italic_t italic_d italic_V OPEN_( italic_A NUM CLOSE_) here v denotes the volume in coordinate space the corresponding euler equations and conditions on time and space are FRACOP_italic_divide ARG_start OPERATOR_partial_differential italic_F ARG_end ARG_start OPERATOR_partial_differential italic_f ARG_end ADDOP_minus FRACOP_italic_divide ARG_start OPERATOR_partial_differential OPEN_( FRACOP_italic_divide ARG_start OPERATOR_partial_differential italic_F ARG_end ARG_start OPERATOR_partial_differential italic_f POSTSUBSCRIPT_start italic_t POSTSUBSCRIPT_end ARG_end CLOSE_) ARG_end ARG_start OPERATOR_partial_differential italic_t ARG_end ADDOP_minus OPERATOR_nabla MULOP_cdot OPEN_( FRACOP_italic_divide ARG_start OPERATOR_partial_differential italic_F ARG_end ARG_start OPERATOR_partial_differential OPERATOR_nabla italic_f ARG_end CLOSE_) ADDOP_plus OPERATOR_nabla POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end OPEN_( FRACOP_italic_divide ARG_start OPERATOR_partial_differential italic_F ARG_end ARG_start OPERATOR_partial_differential OPERATOR_nabla POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end italic_f ARG_end CLOSE_) RELOP_equals NUM OPEN_( italic_A NUM CLOSE_) initial condition italic_f OPEN_( bold_x PUNCT_, NUM CLOSE_) RELOP_equals italic_f POSTSUBSCRIPT_start NUM POSTSUBSCRIPT_end OPEN_( bold_x CLOSE_) final condition OPEN_( FRACOP_italic_divide ARG_start OPERATOR_partial_differential italic_F ARG_end ARG_start OPERATOR_partial_differential italic_f POSTSUBSCRIPT_start italic_t POSTSUBSCRIPT_end ARG_end CLOSE_) VERTBAR_| POSTSUBSCRIPT_start italic_t RELOP_equals italic_T POSTSUBSCRIPT_end RELOP_equals italic_f POSTSUBSCRIPT_start italic_T POSTSUBSCRIPT_end OPEN_( bold_x CLOSE_) a NUM boundary conditions on dv italic_f OPEN_( bold_x PUNCT_, italic_t CLOSE_) RELOP_equals italic_f POSTSUBSCRIPT_start italic_B POSTSUBSCRIPT_end OPEN_( bold_x PUNCT_, italic_t CLOSE_) or bold_n MULOP_cdot OPEN_[ FRACOP_italic_divide ARG_start OPERATOR_partial_differential italic_F ARG_end ARG_start OPERATOR_partial_differential OPERATOR_nabla italic_f ARG_end ADDOP_minus OPERATOR_nabla MULOP_cdot OPEN_( FRACOP_italic_divide ARG_start OPERATOR_partial_differential italic_F ARG_end ARG_start OPERATOR_partial_differential OPERATOR_nabla italic_f ARG_end CLOSE_) CLOSE_] RELOP_equals NUM a NUM bold_n MULOP_cdot OPERATOR_nabla OPEN_( italic_f CLOSE_) RELOP_equals italic_g POSTSUBSCRIPT_start italic_B POSTSUBSCRIPT_end OPEN_( bold_x PUNCT_, italic_t CLOSE_) or FRACOP_italic_divide ARG_start OPERATOR_partial_differential italic_F ARG_end ARG_start OPERATOR_partial_differential OPERATOR_nabla POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end italic_f ARG_end RELOP_equals NUM a NUM starting with the continuity and energy conservation equations given in eqs NUM and NUM in the text we rewrite them as italic_A POSTSUBSCRIPT_start italic_t POSTSUBSCRIPT_end ADDOP_plus OPERATOR_nabla italic_A MULOP_cdot FRACOP_italic_divide ARG_start OPERATOR_nabla italic_S ARG_end ARG_start italic_m ARG_end ADDOP_plus FRACOP_italic_divide ARG_start italic_A OPERATOR_nabla POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end italic_S ARG_end ARG_start NUM italic_m ARG_end RELOP_equals NUM OPEN_( italic_A NUM CLOSE_) italic_A italic_S POSTSUBSCRIPT_start italic_t POSTSUBSCRIPT_end ADDOP_plus italic_A FRACOP_italic_divide ARG_start OPERATOR_nabla italic_S MULOP_cdot OPERATOR_nabla italic_S ARG_end ARG_start NUM italic_m ARG_end ADDOP_plus italic_V italic_A ADDOP_minus FRACOP_italic_divide ARG_start ID_Planck_constant_over_2_pi POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end ARG_end ARG_start NUM italic_m ARG_end OPERATOR_nabla POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end italic_A RELOP_equals NUM OPEN_( italic_A NUM CLOSE_) the use of the dynamical equations above in the cost functional in eq NUM becomes italic_J RELOP_equals FRACOP_italic_divide ARG_start NUM ARG_end ARG_start NUM ARG_end italic_omega"
acknowledgement,proposition,mathformula                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
acknowledgement,related work,for the simulations presented in this paper the walberla lattice boltzmann framework citationelement and the pe rigid body phisics engine citationelement have been used these software projects are a collaborative effort of the chair for system simulation at the university of erlangen nurnberg                                                                                                                                                                                                                                                                                                                                                                                                                                                     
acknowledgement,remark,as interesting new results of l ecuyer have become available to us citationelement we think that it is worth to share our initial investigation on the spectral index which has been performed by a different method                                                                                                                                                                                                                                                                                                                                                                                                                                                            
acknowledgement,result,our investigations were aided by the automated deduction program prover9 and the finite model builder mace4 both developed by mccune citationelement                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
conclusion,abstract,opportunistic spatial orthogonalization oso is a novel cr scheme that allows the existence of secondary users even when the primary user occupies all the frequency bands all the time this scheme relies on the randomness and independence among channel matrices and exploits the spatial dimensions to orthogonalize users and hence minimize interference the oso scheme developed for simo has led to the interesting concept of opportunistic interference alignment for the mimo case it is shown that ill conditioned mimo channel significantly increases the total throughput without much sacrifice of pus performance                                                                                                                                                                                                                                                                                                                                                                                                     
conclusion,acknowledgement,a p contogouris university of athens                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
conclusion,definition,"by categorical equivalence the adjunctions OPEN_( caligraphic_T POSTSUBSCRIPT_start MULOP_tensor_product POSTSUBSCRIPT_end PUNCT_, caligraphic_U POSTSUBSCRIPT_start blackboard_R POSTSUBSCRIPT_end CLOSE_) and OPEN_( caligraphic_F POSTSUBSCRIPT_start MULOP_tensor_product POSTSUBSCRIPT_end PUNCT_, caligraphic_U POSTSUBSCRIPT_start blackboard_R POSTSUBSCRIPT_end CLOSE_) naturally transfer to lattice ordered structure we denote by bold_auG POSTSUBSCRIPT_start bold_a POSTSUBSCRIPT_end the category of archimedean ell italic_u groups bold_uR POSTSUBSCRIPT_start bold_a POSTSUBSCRIPT_end the category of archimedean and unital ell italic_u rings bold_uRS POSTSUBSCRIPT_start bold_a POSTSUBSCRIPT_end the category of archimedean riesz spaces with strong unit bold_fuAlg POSTSUBSCRIPT_start bold_a POSTSUBSCRIPT_end the category of archimedean and unital fu algebras                                                                                                                                                                                                                                                                                                                                                                                                          "
conclusion,example,"in this section we discuss the bps point like solutions the r symmetry in the field theory is dual to the canonically defined reeb killing vector field italic_K on the sasaki einstein manifolds citationelement given by italic_K RELOP_equals NUM FRACOP_italic_divide ARG_start OPERATOR_partial_differential ARG_end ARG_start OPERATOR_partial_differential italic_psi ARG_end ADDOP_minus FRACOP_italic_divide ARG_start NUM ARG_end ARG_start NUM ARG_end FRACOP_italic_divide ARG_start OPERATOR_partial_differential ARG_end ARG_start OPERATOR_partial_differential italic_alpha ARG_end and the r charge is equal to italic_Q POSTSUBSCRIPT_start italic_R POSTSUBSCRIPT_end RELOP_equals NUM italic_J POSTSUBSCRIPT_start italic_psi POSTSUBSCRIPT_end ADDOP_minus FRACOP_italic_divide ARG_start NUM ARG_end ARG_start NUM ARG_end italic_J POSTSUBSCRIPT_start italic_alpha POSTSUBSCRIPT_end PERIOD_. now in order to express the hamiltonian in terms of the momenta we are initially considering a general situation where all the parameters in the internal manifold are dependent on italic_tau italic_theta RELOP_equals italic_theta OPEN_( italic_tau CLOSE_) PUNCT_, italic_y RELOP_equals italic_y OPEN_( italic_tau CLOSE_) PUNCT_, italic_alpha RELOP_equals italic_alpha OPEN_( italic_tau CLOSE_) PUNCT_, italic_phi RELOP_equals italic_phi OPEN_( italic_tau CLOSE_) PUNCT_, italic_psi RELOP_equals italic_psi OPEN_( italic_tau CLOSE_) PUNCT_, and later we will focus on the string configurations mentioned in the previous section the reason we are doing this is to show how the general bps solutions behave if we generalize our ansatz and activate simultaneously the motion on all angles the process is equivalent to finding massless geodesics and is examined in citationelement                                                                                                                                                                                                                                                                          "
conclusion,introduction,"the foregoing development of italic_N MULOP_times italic_N approximations of the feynman path integral is a continuation of our previous studies of quantum mechanics over finite configuration spaces citationelement and of discrete path summation citationelement our approximation method was first applied to discrete time evolution of an analogue of a quantum free non relativistic particle in discrete NUM ADDOP_plus NUM space time the powers of the evolution operator can be interpreted as a unitary representation in italic_l POSTSUPERSCRIPT_start NUM POSTSUPERSCRIPT_end OPEN_( blackboard_Z POSTSUBSCRIPT_start blackboard_N POSTSUBSCRIPT_end CLOSE_) of an abelian subgroup of italic_S italic_L OPEN_( NUM PUNCT_, blackboard_Z POSTSUBSCRIPT_start blackboard_N POSTSUBSCRIPT_end CLOSE_) acting on quantum phase space blackboard_Z POSTSUBSCRIPT_start blackboard_N POSTSUBSCRIPT_end MULOP_times blackboard_Z POSTSUBSCRIPT_start blackboard_N POSTSUBSCRIPT_end generalization of the italic_N MULOP_times italic_N approximation of the short time propagator to a particle moving in a potential turned out to be straightforward                                                                                                                                                                                                                                                                                                                                                      "
