True Label,Predicted Label,Content
acknowledgement,proposition,the work of t i                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
acknowledgement,related work,all underlying software is open source and available at citationelement additional experimental data is available from the authors webpages tobias weinzierl appreciates the support from intel through durhams intel parallel computing centre ipcc which made it possible to access the latest intel software this work is dedicated to christoph zenger he has first introduced the additive scheme in the context of peano spacetree codes and he has acted as co advisor to citationelement which are starting points of the present work                                                                                                                                                                                                                                                                                                                                                                                                               
acknowledgement,remark,the elegant recursive step which simplified the proof and strengthened the statement of theorem NUM is due to an unknown referee                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
acknowledgement,result,we used enthought canopy NUM NUM enthought inc http www enthought com provided through an academic license to perform the numerical calculations referenced and to create the associated figures                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
conclusion,abstract,non redundant aperture masking has established itself as a powerful and productive high angular resolution technique and is implemented on most major ground based observatories it was recently accepted as a late addition to jwsts fgs tfi there are good reasons detailed simulations with time varying mirror figure errors and existing data reduction methods suggest that non redundant aperture masks would benefit any of the jwst instruments bringing exciting high resolution high contrast imaging within reach in fact low cost minimal impact on hardware relaxed optical requirements and high scientific payoff recommend nrm as a leading technology for any future missions possessing a high angular resolution imaging component                                                                                                                                                                                                                                                                                                                                                                                    
conclusion,acknowledgement,during a pause of the meeting at ictp we were walking around the miramare campus at trieste and john told me giancarlo you know well how important i consider my interest in foundational problems however i must state that i think that to devote oneself exclusively to this kind of studies is a luxury one has also to do something more practical to get paid this is why at cern i am so involved in physics                                                                                                                                                                                                                                                                                                                                                                                                                    
conclusion,definition,for nonzero elements and in the rational function has a position in each element of the quadratic tree we use the following terminology NUM has a zero at if the maximal ideal of NUM has a pole at if NUM is a unit at if both and NUM is undetermined at if both and it is clear that if has a zero or pole or is a unit at then has respectively a zero or pole or is a unit in each that dominates                                                                                                                                                                                                                                                                                                                                                                                                            
conclusion,example,let us now consider the evaluation of the constrained path integral ref the gauge field satisfies perfect conductor boundary conditions on the boundary and the exponent contains a chern simons term plus terms where the gauge field couples linearly to sources we will proceed to split in the measure into a classical part satisfying the proper boundary conditions plus a fluctuating field with trivial dirichlet boundary conditions such that vanishes on                                                                                                                                                                                                                                                                                                                                                                                                                         
conclusion,introduction,that the expansion rate of the universe is accelerating is now just over a decade after the first evidence from observations of type ia supernovae a firmly established aspect of cosmology the rapid progress in establishing this fact is a testament to the breathtaking convergence of techniques and technology that has emerged in observational cosmology in turn cosmic acceleration has introduced new wrinkles into almost every part of theoretical cosmology ranging from the details of structure formation through the cmb and gravitational lensing                                                                                                                                                                                                                                                                                                                                                                                                             
conclusion,proof,using the results of the precedent subsections we now aim at showing that as and we will proceed by induction for every consider the product then we make the following induction hypothesis for some we suppose otherwise ref is trivial we will show that it implies indeed we have if is not stable then by ref we have since in this case and by the induction hypothesis but in this case note that by construction we have so we obtain if is stable we have by ref which implies with the induction hypothesis but in this case we have by construction either or and this leads to as the induction hypothesis is verified for by ref we showed that for all we have as and now taking and using ref we obtain as and by lemma ref ref and ref we obtain that a s as together with ref the inequality ref proves theorem ref                                                                                                                                                                                                                                                                                                                                     
conclusion,proposition,NUM if then there is a saturated mad family                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
conclusion,problem,these axiom schemata lead to many questions among them NUM are there models of or which are forcing extensions of NUM are there similar natural schemas making the universe large but contradicting or NUM what are the consequences for ordinary mathematics of these axioms                                                                                                                                                                                                                                                                                                                                                                                                                                                    
conclusion,related work,many lower bounds for algorithm problems are based on plausible conjectures from fine grained complexity theory besides the three canonical ones seth apsp NUM sum mentioned above some interesting hardness candidates include boolean matrix multiplication citationelement online matrix vector multiplication citationelement and the triangle collection problem citationelement their relationship and applications are discussed in detail in citationelement                                                                                                                                                                                                                                                                                                                                                                                                                                       
conclusion,remark,as it was mentioned in the introduction is the probability that individuals in the and species interbreed to produce an individual our assumption ref means that the parents independently participate for producing under this condition the qso became a product of two linear operators note that volterra qso citationelement also is product of two linear operators identical operator and a linear operator the theory of the volterra qsos is developed enough but our sqso corresponding to quadratic matrices and coincides with volterra qso iff or is the identical matrix thus one can expect that sqsos may have different dynamical behavior we already have seen that sqsos for example ref may have periodic trajectories this is quite different behavior from the behavior of the volterra qso since volterra operators have no periodic trajectories we described a wide family of linear lyapunov functions for sqsos but for volterra qsos such a family of functions is not described except which is constructed in citationelement under some conditions on parameters of ref by using theory of tournaments we think our argument also works for volterra qsos to describe linear lyapunov functions                                                                                                                                                                                                                                                                                                     
conclusion,result,the purpose of this section is to deduce from theorem ref the computations of the numbers in the individual types of simple simply connected compact lie groups recall convention ref for basic facts about compact lie groups and their representation see citationelement                                                                                                                                                                                                                                                                                                                                                                                                                                                      
definition,abstract,the space of states is constructed from states considering a three dimensional                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
definition,acknowledgement,i would like to thank akio tamagawa for several discussions we had on the topic of this paper as well as for his help with some technical details part of this work was done while the author was visiting the research institute of mathematical sciences rims of kyoto university i would like very much to thank the members of the institute for their hospitality                                                                                                                                                                                                                                                                                                                                                                                                                                
definition,conclusion,a pure qubit state has maximal multipartite entanglement i e q tangle iff the state is not a product i e the minimal rank of any reduced density matrix of is all reduced density matrices of with rank this includes all site and single site ones are maximally mixed within their range further there is a list of desirable features for maximally multipartite entangled states all site reduced density matrices of have zero tangle this is clearly an implicit requirement in that a check of it would require the knowledge of convex roof extensions of the relevant multipartite entanglement measures furthermore it is not even clear which qubit entanglement families possess a representative for which all tangles for less than qubits vanish the qubit ghz state is an example that satisfies condition ii there is a canonical form of any maximally tangled state for which properties ia and ib are unaffected by relative phases in the amplitudes i e their quality of being maximally entangled is phase insensitive                                                                                                                                                                                                                                                                                                                        
definition,example,binomial transforms of aerated alternating NUM sequences                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
definition,introduction,let be a finite simple labelled graph whose labels are positive integers greatest or equal than we denote by the vertex set of we denote by the set of pairs such that either is an edge of labelled by or is not an edge of and when belongs to we denote by the word of length the coxeter group associated with is defined by the following group presentation in this case one says that is a coxeter system                                                                                                                                                                                                                                                                                                                                                                                                                  
definition,keywords,td texture database a database containing texture features extracted from video frames                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
definition,proof,restrict to admissible sequences with define by where for all and                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
definition,proposition,let be the modulation operator then defines a group action on matrices                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
definition,problem,set cover for a collection of subsets of a finite set and a positive integer does contain a cover of size for                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
definition,remark,NUM for cardinals also the case is ok let such that for every for some we have if we may omit if we may omit them both and if we may omit in the case of our theorem it means and                                                                                                                                                                                                                                                                                                                                                                                                                                                       
definition,result,let and let denote a center of en element of the dual grid by we denote an arbitrary piecewise constant approximation of see ref i e we assume for all for instance we might use the local mean value on every cell then we denote the solution of the entries of the piecewise constant discrete effective hydraulic conductivity are now given by                                                                                                                                                                                                                                                                                                                                                                                                                                  
example,abstract,we study formal trivial deformations of modules for some and for arbitrary generic for each of these deformations is equivalent to its infinitesimal one without any integrability condition                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
example,acknowledgement,we thank mike whittaker for his contributions to the construction and analysis of this example                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
example,conclusion,from citationelement we conclude that an lscd or an sfcd definition of an operating system cannot be found in existing literature before NUM providing an idbr for operating systems is not a particularly exciting challenge as most books on computer systems provide a listing of services which an os is supposed to fulfill we refer to citationelement for a listing of these classical objectives of an os                                                                                                                                                                                                                                                                                                                                                                                                                             
example,definition,if is a matrix algebra over then we define the derivations these derivations are symmetric and commute with each other and for all an application of proposition ref gives that all spaces are inverse closed subalgebras of                                                                                                                                                                                                                                                                                                                                                                                                                                                           
example,introduction,let where be the unital semigroup banach algebra of with convolution multiplication and norm in citationelement we showed that all boundary maps of the standard homology complex have closed ranges and that and are strictly flat in in citationelement we describe explicitly the simplicial homology groups and cohomology groups of the semigroup algebra                                                                                                                                                                                                                                                                                                                                                                                                                                           
example,keywords,finite field consensus network via kronecker product                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
example,proof,let so that from lind citationelement we have for and for thus we must take both and into account a calculation using circulants shows that and so and as in the proof of theorem ref all other contributions are bounded so                                                                                                                                                                                                                                                                                                                                                                                                                                                       
example,proposition,the homfly polynomial of the trefoil knot is in our conventions while the homfly polynomial of the hopf link is                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
example,problem,derive the first NUM rows of table ref                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
example,related work,facility location has been given much attention in the literature on privacy in mechanism design see e g citationelement the standard facility location problem involves placing facilities e g public libraries within a region so the set of social alternatives is the set of all ways to place the facilities each players type is his location within the region and his utility is determined by the distance from his location to the nearest facility usually the goal is to minimize the sum of the players distances to their nearest facility                                                                                                                                                                                                                                                                                                                                                                                                      
example,remark,erdos showed in citationelement that the symmetric probability measure on with obtained as the weak limit of is singular w r t the lebesgue measure and has a fourier transform which vanishes at infinity i e as                                                                                                                                                                                                                                                                                                                                                                                                                                                           
example,result,finally we list some formulas we obtained from our algorithm and comment on their properties we denote a general integrand term by two indices writing further we define and the tadpole coefficients from the first few of these integrands are where where where we note some patterns in these tadpole coefficients NUM the tadpole coefficient is independent of NUM for the coefficient is independent of masses NUM for the coefficient is of the form                                                                                                                                                                                                                                                                                                                                                                                                                      
introduction,abstract,the ads cft correspondence identifies asymptotically gravitational dynamics with the master field evolution of large field theories in particular it relates the evolution of spacetimes with horizons to the non equilibrium statistical dynamics of the high temperature phase of the dual field theory this connection has recently been studied in detail in a near equilibrium limit it has been established that the spacetimes that locally i e tube wise approximate the black brane metric obey the equations of boundary fluid dynamics with gravitationally determined dissipative constants the equations of fluid dynamics are thus embedded in a long distance sector of asymptotically gravity a fascinating connection that promises to prove useful in many ways                                                                                                                                                                                                                                                                                                                                                                               
introduction,acknowledgement,as a preliminary remark the author would like this paper to be a modest tribute to the work of maurice frechet in statistics the work has been started at the occasion of his birthday and the anniversary of his stay in nantes the town the author is living in as professor in mathematics                                                                                                                                                                                                                                                                                                                                                                                                                                           
introduction,conclusion,at first glance it should not be difficult to extract the astrometric signal of an earth like planet from the composite signal of a system of planets around a star because each planet has its own frequency in time so in a fourier analysis of the total signal the signature of any given planet should stand out compared to any other planet however in reality the case might be not so simple because for example a planet in an eccentric orbit with a dominating signal e g a jupiter might have harmonic terms that are not recognized as such but might look like a separate planet or a long period planet observed over a time shorter than that period would have noise generated at many frequencies owing to the difficulty of distinguishing a proper motion on the sky from a part of an orbit for these reasons plus the fact that a mission should always be simulated before it is flown we initiated a double blind simulation to see how well earth like planets i e terrestrial masses habitable zone periods in multi planet systems could be detected with sim lite with the help of radial velocity rv data an additional goal was to see what accuracy of sim lite is needed to detect earth like planets                                                                                                                                                                                                                                                                       
introduction,definition,a finite regular graph is called an expander if for every subset of vertices of with where distance                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
introduction,example,in this section we consider reducing to NUM by an orientifold quotient the main effect of such orientifolds is that they can project out certain fermion zero modes of d brane instantons allowing them to contribute to the superpotential for instance for d1 brane instantons this would correspond to wrapping them on holomorphic curves of topology clearly a systematic computation of such NUM superpotentials would require a formulation of topological string in orientifold models dubbed real topological string recent progress in this field see e g citationelement holds the promise of such applications although the connection of the real topological strings to the physical orientifold theories is not fully understood however the existence of a gv interpretation for real topological string amplitudes almost guarantees the applicability of some lessons to here we show that the particular lesson of relating d brane instantons to d brane particle loops by t duality and threshold bound states to multi instanton processes survives in orientifold theories and explains the continuity of non perturbative superpotentials through threshold walls this should be related to the continuity of unoriented gv invariants for the real topological string                                                                                                                                                                                                                                                                                                   
introduction,keywords,adversarial attacks derail models by crafting malicious inputs image classifiers mislabel those inputs visually indistinguishable from ordinary ones with high confidence                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
introduction,proof,we follow the analysis of dimock citationelement citationelement concerning the construction of the quantum hilbert space of the bosonic string and of the superstring the purpose being of presenting the facts as elementary as possible and in the same time rigorous                                                                                                                                                                                                                                                                                                                                                                                                                                                       
introduction,proposition,consider the schrodinger operator acting in where and is the real NUM periodic potential the real compactly supported potential belongs to the class for some the spectrum of consists of spectral bands and is given by see fig NUM we assume that the sequence is the spectrum of the equation with the NUM periodic boundary conditions i e the bands are separated by a gap and let if a gap degenerates that is then the corresponding bands and merge if for some then this number is the double eigenvalue of equation ref with the NUM periodic boundary conditions the lowest eigenvalue is always simple and the corresponding eigenfunction is NUM periodic the eigenfunctions corresponding to the eigenvalue are NUM periodic and for the case they are anti periodic i e                                                                                                                                                                                                                                                                                                                                                              
introduction,problem,given two integers and both greater than consider the expansions of the powers in base say where for each and where is the number of digits in the expansion what is the statistical behaviour of such digits as in citationelement we formulated a general conjecture implying that such digits are asymptotically equidistributed we reproduce the statement here                                                                                                                                                                                                                                                                                                                                                                                                                                       
introduction,related work,a direction of research in quantum computation pioneered by grover citationelement around search problems in unstructured structured or partially structured databases has recently been infused with new ideas for algorithm design in contrast to problems based on the hidden subgroup problem hsp see for instance ref citationelement the speed up for these search problems is often only polynomial                                                                                                                                                                                                                                                                                                                                                                                                                                      
introduction,remark,the fact that an arbitrary algebraic variety over a field of characteristic zero admits a resolution that is a proper birational morphism with regular was first established by h hironaka in his celebrated NUM article citationelement                                                                                                                                                                                                                                                                                                                                                                                                                                                            
introduction,result,for the sake of proceeding smoothly we briefly introduce some necessary concepts and notation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
keywords,definition,skew t distribution arcsinh transformation ast distribution                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
keywords,example,the time unit is set by the keyword timeunit string valued time unit default s that shall apply to all time instances and durations that do not have an implied time unit such as is the case for jd mjd iso NUM j and b epochs in relevant context this may be overridden see section ref for details by the cunit keywords and their binary table equivalents see table ref                                                                                                                                                                                                                                                                                                                                                                                                                          
keywords,proposition,everywhere property supremum infimum limit convergence basic convergence musielak function musielak orlicz function musielak orlicz spaces luxemburg norm                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
keywords,problem,look down with selection lambda coalescent fixation and non fixation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
keywords,related work,graphcombex graph combinatorial explorer complex net works large sparse graphs combinatorial optimisation problems research software                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
proof,abstract,we consider the equation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
proof,acknowledgement,we are indebted to g buttazzo and b velichkov of this proof after a discussion during a meeting in cirm luminy NUM NUM november NUM                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
proof,conclusion,we draw these results from the sources cited below                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
proof,definition,a point corresponds to an embedded dimensional subscheme of length in other words to a quotient with of dimension fixing an dimensional complex vector space the data defining a cluster consists of a linear map subject to the condition that the induced action of the tensor algebra of factors through an action of the symmetric algebra and a vector which generates under the action                                                                                                                                                                                                                                                                                                                                                                                                                                
proof,example,the triangle in figure ref has vertices and and so is not smooth the points inside the triangles and can be displaced by probes in the directions and all but a short segment of can be displaced by vertical probes from it is easy to check that this is the most one can displace by probes starting on or on the other hand the best probes from are either parallel to in the direction or are parallel to in the direction in fact the latter set of probes displaces no new points therefore this triangle contains an open region that cannot be reached by probes                                                                                                                                                                                                                                                                                                                                                                                       
proof,introduction,in citationelement slobodskoi constructed an effective sequence of formulas and two disjoint recursively inseparable subsets such that holds for every torsion group whenever and does not hold in some finite group whenever recall that two disjoint subsets are said to be recursively inseparable if there is no recursive subset such that and                                                                                                                                                                                                                                                                                                                                                                                                                                            
proof,proposition,let and let be such that lemma ref holds in the following way for all                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
proof,problem,calculate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
proof,related work,lovasz citationelement showed that colouring is np complete a straightforward reduction from colouring shows that colouring is np complete for all erdos rubin and taylor citationelement and vizing citationelement observed that list colouring is p time solvable on general graphs then i follows from the relationships displayed in figure ref erdos rubin and taylor citationelement proved ii                                                                                                                                                                                                                                                                                                                                                                                                                                       
proof,remark,we refer to citationelement for invariant theoretic results mentioned below                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
proof,result,we will need the following general result that must be well known its proof is elementary and will be skipped                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
proposition,abstract,in case a node joins a stable cone network or a node leaves a stable cone network or a node in a stable cone network changes its capacity we show that in any of these three cases structural changes in the explicit edge set are necessary to reach the new stable state                                                                                                                                                                                                                                                                                                                                                                                                                                            
proposition,acknowledgement,acknowledgements this collaboration began during the second authors visit to impa in february NUM and was concluded during the first authors visit to ufpe in june of the same year both institutions are warmly thanked                                                                                                                                                                                                                                                                                                                                                                                                                                                             
proposition,conclusion,physically acceptable global transonic solutions must always produce odd number of critical points whereas even number of sonic points are produced for the multi transonic accretion odd number of sonic point is observed for mono transonic accretion however this is a trivial case because the number of sonic point is unity                                                                                                                                                                                                                                                                                                                                                                                                                                             
proposition,definition,let be a permissible sequence of basic objects and transformations where is the homogenized basic object associated to a nice basic object we write so the corresponding blowing up morphism let and be adapted hypersurfaces defined by elements of respectively a point of then there are a permissible sequence of basic objects and transformations we write denotes the th blowing up morphism and for each etale morphisms and from to such that                                                                                                                                                                                                                                                                                                                                                                                                                        
proposition,example,consider flows with arrival processes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
proposition,introduction,let for be a time dependent closed smooth hypersurface the initial surface is transported by the smooth function with and we assume that is a diffeomorphism for every the velocity of the material points is denoted by the tangential flow of a conservative material quantity with is described by a flux function which is a family of vector fields such that is a tangent vector at the surface for and we assume that all derivatives of f are bounded and that for all fixed the definition of is given below                                                                                                                                                                                                                                                                                                                                                                                                      
proposition,proof,in the previous notation assume conditions satisfying a b c of ref are defined for every possible when the dimension of our basic object is let be a nice dimensional basic object over cf ref it is again nice and inductive hypersurfaces for let and be the corresponding inductive objects assume that both and are algorithmically equisolvable i e they satisfy conditions for all possible since their dimensions are equal to by our hypothesis these conditions are defined consider the corresponding algorithmic equiresolution sequences note that the length of these sequences which dependes on the special fibers only must be the same by the results of ref assume that both NUM and NUM are strongly permissible sequences see ref determined by centers respectively let be the induced permissible sequences see ref by ref if and are the strict transforms of and to and respectively there are identifications then using these identifications hence using this fact an equality of subschemes of hence and so on eventually getting as subschemes of                                                                                                                                                                                                                                                                                                                       
proposition,problem,let be a positive integer let be a real number that is not algebraic of degree less than or equal to for every distinct prime numbers and every positive real number does there exist a non zero real algebraic number of degree at most satisfying                                                                                                                                                                                                                                                                                                                                                                                                                                                   
proposition,related work,there are algorithms that resample that solve partition or select in the erasure model with probability with expected query complexity based on the quickselect or median of medians algorithm citationelement solve partition or select in the erasure model with probability with query complexity and round complexity solve partition or select in the noisy model with probability with query complexity and round complexity                                                                                                                                                                                                                                                                                                                                                                                                                                  
proposition,remark,the constant volatility directions are elements of which is the domain where all powers of are defined see for instance citationelement furthermore is assumed to be a lipschitz map                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
proposition,result,we have the following two results along the kahler ricci flow                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
problem,abstract,i show that a finite homomorphism is admissible whenever is not trivially valued but not in general also give an example of a finite bounded homomorphism which becomes non finite after a ground field extension hint with different norms does the job                                                                                                                                                                                                                                                                                                                                                                                                                                                      
